column,instructions,data_type,values
class,Class name of species,annotation,
order,Order name of species,annotation,
family,Family name of species,annotation,
genus,Genus name of species,annotation,
sci_name,Species scientific name (Genus species),annotation,
life_stage,Taxon life stage,categorical,"adult, juvenile"
measurer,Initials of individual doing the measuring,annotation,
file_name,Image file name,annotation,Genus_species_stage_#.jpg
use,Qualitative assessment of whether we should use this image or not,categorical,"yes, no, maybe"
source,General source for photos,annotation,
image_type,Description of image type,categorical,"sketch, amateur (for photos), institute (for photos)"
scale_bar,Scale bar presence,categorical,"yes, no"
s_length,"Standard length; Fish = standard length: tip of the snout (or end of the longest jaw) along the lateral line to the base of the caudal fin (posterior limit of the hypural plate), where a groove forms; Cephalopods = mantle length: tip of the tail (posterior end of mantle) to anterior most point of mantle; Octopus = mantle length: posterior tip of the mantle to the midpoint between eyes; Crustaceans = standard length: rostral margin to the base of the telson (posterior edge of 6th abdominal segment); Crabs = carapace width: distance between lateral spines of the carapace, at the widest point; Gastropods = shell length: Lateral distance from anterior to posterior on the shell (e.g., longest dimension); Other invertebrates = standard length: Longest dimension (TL = SL); NA = not visible.",continuous,"pixels; If the organism only has total length, copy t_length here"
t_length,"Total length: Fish: tip of the snout (or end of the longest jaw) to the end of the longest caudal lobe; Cephalopod: tip of the tail (posterior end of mantle) to the end of longest arm; excludes the feeding tentacles which can retract; Crustaceans: rostral margin (e.g., base of the antennae/setae) to the posterior margin of the telson excluding setae; Crabs: tip of longest pereopod on one side of body to tip of pereopod on other side of body; Gastropods: tip of the shell to the end of the body extended out of the shell; Other invertebrates: Longest dimension (TL = SL); NA = not visible.",continuous,"pixels; If standard length same as total length, copy s_length here"
b_height,"Body height; Fish: Base of the dorsal fin to base of pelvic fin; deepest part of the fish; Cephalopod = mantle width: diameter of the mantle at the widest point (not including fins); Crustaceans = carapace width: in lateral view, distance from dorsal side of the carapace to the base of the limbs; Crabs = carapace length: in dorsal view, distance from anterior to posterior ends of the carapace; Gastropods = shell width: shell width at widest point; Other invertebrates: Second longest dimension (TH = BH); NA = not visible.",continuous,"pixels; If body height same as total height, enter t_height here"
t_height,"Total height; Fish = tip of dorsal fin to tip of pelvic fin (or widest dimension to tips of fins), with fins fully extended (body height + fin lengths); Cepaholopods = total width: with fins [e.g., squid], diameter of mantle and fins combined, at the widest point; tip to tip of stabilizing fins. No fins [e.g., octopus], TH = BH; Crustaceans: in lateral view, distance from dorsal-most margin to ventral-most margin at the widest point, including limbs; Crabs = total width: in dorsal view, anterior side of the folded claws to the posterior end of the carapace (carapace length plus folded claws); Gastropods = shell width: shell width at widest point, including body out of shell (shell + appendages); Other invertebrates: second longest dimension (TH = BH); NA = not visible (e.g. fins folded).",continuous,"pixels; If total height same as body height, enter b_height here"
f_height,"Fin height; Fish = dorsal fin, from base to tip; Cephalopods = stabilising fin, from base to tip on one side; 0 = fins absent (organisms doesn’t have fins); NA = fins not visible (organism has fins).",continuous,pixels
eye_diameter,"Diameter of the eye, excluding tissue that contains the eye; 0 = eye absent (organisms doesn’t have an eye); NA = eye not visible (organism has an eye[s]).",continuous,pixels
status_type,"Type of appendage(s) that need to be measured and that are sometimes folded or not visible. Indicate what the issue is (fin, arm, tail, etc); 'position' if there is a body position issue; enter multiple values if multiple issues (e.g. fin, position). Leave blank if no issue to note.",categorical,"fin, arm, tail, legs, position, claws, eye"
fin_arm_status,Descriptor for visibility of appendages/body position that has an issue influencing measurements. Leave blank if no issue to note.,categorical,"folded, angled, absent, not visible"
notes,Notes on any issues for future reference,annotation,